Name,Invalid
မြင့်စွင့်အောင်,18
ချမ်းမြေ့အောင်,18
မင်းကြီးအောင်,18
မြင့်မိုရ်အောင်,18
ရွှေစံအိမ်,18
ရွှေဆွမ်းအုပ်,18
ထိန်လင်းအောင်,18
ချမ်းမြအောင်,18
ကောင်းစံအိမ်,18
ချစ်စိန်ဦး,"18,10"
ရင်နွယ်အေး,18
ဇော်ဂျီအိမ်,"18,10"
အမေ့အိမ်,"18,10"
ရွှေဝါးအိမ်,"18,10"
နွယ်ပိုးအိမ်,"18,10"
ရွှန်းလဲ့အိမ်,"18,10"
ဆန်းသစ်အောင်,18
ဇွဲသစ်အောင်,18
စည်ပင်အောင်,18
ကံပေါက်အိမ်,18
ရွှေယွန်းအောင်,0
မြင့်မိုရ်ဦး,18
ကျော်ကြားအောင်,18
ငြိမ်းချမ်းအောင်,0
ပညာရွှေအိုး,18
ပိုးဖဲအိ,"18,10"
ဗွေဆော်ဦး,18
မြတ်သစ်အောင်,0
ကောင်းမြတ်အောင်,
သိဒ္ဓအောင်,18
ဟိန်းသစ်အောင်,
တိုးတက်အောင်,18
ပန်းအိ,18
အာရုံဦး,18
အောင်ကျော်ကြား,0
ရိုးမြေကျ,"10,1,2"
အနာဂတ်,18
ဂုရုကြီး,0
ဆရာကြီး,0
မြရောင်ခြည်,0
မိုးကောင်းကင်,18
အောင်မြင်ခေတ်,18
အောင်တံခွန်,0
နွေတန်ခူး,18
ထက်အာကာ,0
မိုးသောက်ကြယ်,0
ရှုမငြီး,"18,10"
ပန်းသခင်,"18,11"
အာရောဂျံ,18
ဇီဝက,18
ကမ္ဘာကျော်,0
ဇမ္ဗူကျော်,0
မိဘဂုဏ်,0
ချစ်ခွန်းချို,"18,10,21,27"
အောင်သစ်ခွင်,18
သိန်းဂုဏ်ကျော်,0
လေပြေချမ်း,0
ခွန်းချိုခ,0
ချစ်ခွန်းငယ်,"18,10,21"
သီတဂူ,0
စည်တော်ကြီး,0
ရွှေဇီးကွက်,0
ဇလုံကြီး,18
ကံ့ကော်,0
ကန်တော်ကြီး,0
ချမ်းမြေ့ကြည်,0
ချမ်းမြကြည်,0
ခန့်တည်ကြည်,0
ခေတ်စံချိန်,0
ခေတ်သစ်စံချိန်,0
မေသဲချို,"18,10,21,27"
ရွှေစင်ကြယ်,0
မောင်မောင်ခင်,0
တော်ဝင်နဂါး,0
ဇာတာဘုန်းကံ,18
ရေစကြို,0
ကိုယ့်အကြိုက်,"18,10,27"
မင်းဗဂြီး,0
လင်းလက်ကြယ်,0
တူမကြီး,0
ရွှေလွန်းခင်,0
ရှယ်အိုးကြီး,"18,10,27"
အောင်ဘောဂ,0
ပြည်ဟိန်းကျော်,0
စိန်မြချယ်,0
ကျော်ကြား,0
ပတ္တမြားဂုဏ်,0
ရင်ခတ်,0
ရွှေတောင်ကြား,0
အင်ကြင်း,0
ရွှေအင်ကြင်း,0
မြတ်အင်ကြင်း,0
အင်ကြင်းခိုင်,0
စင်ကြယ်,0
ရွှေနဂါး,0
စွမ်းပကား,0
ရွှေအနာဂတ်,18
ရတနာကောင်းကင်,0
ငြိမ်းချမ်း,0
ရွှေစံချိန်,18
တကောင်း,0
ပင်လယ်ကျယ်,0
ပေါင်ချိန်,0
ပတ္တမြားရွှေဂူ,0
ချမ်းသာသုခ,0
ဝတ်ရည်ချို,"18,10,21,27"
ဆန်းသစ်ကြွယ်,18
ဖဲကြိုး,0
ဖိုးခေါင်,0
ပဒုမ္မာရွှေကြာ,18
ဗိသုကာ,0
မြတ်ပန်းရဂုံ,0
ဗြဟ္မာကြီး,0
ဘေးဘယာဝေးကွာ,0
ဘောဂ,0
ဘက်စုံထူးချွန်,18
ဘင်ဂျို,0
ဘုန်းကံ,0
ဘုန်းတန်ခိုး,0
ဘုံကျောင်း,0
မြတ်တံခွန်,0
စျေးကွက်,18
ကောင်းထွန်းကား,0
တော်ဝင်ခတ်,0
ဇော်ဂျီ,0
ဇေယျကျော်,0
ဇီးကွက်,0
ငွေဇီးကွက်,0
ဖေဇော်ဂျီ,18
ရတနာဇော်ဂျီ,18
သွင်ခန့်ငြား,18
ဟိုးဟိုးကျော်,18
ရွှေခတ်,18
ရတနာရွှေခတ်,18
ရတနာစိန်ခတ်,18
စိန်ချယ်,0
စိန်ရတနာချယ်,18
ရတနာစိန်ချယ်,18
ရတနာမြချယ်,18
ဆင်ကြယ်,0
ဂလက်ဆီ,0
တိမ်ပန်းချီ,18
တေးသီငှက်ငယ်,18
ထူးမြတ်ကျော်,0
ထွန်းတောက်ကျော်,0
အောင်စည်းစိမ်,18
စိန်ဘောစိ,
ရွှေနန်းဆောင်,18
‌ငွေသဇင်,0
အောင်ထိပ်စံ,0
ပွင့်သစ်စ,18
ကမ္ဘောဇ,0
ရွှေအိမ်စံ,18
ငွေဖူးစာ,18
ခေတ်သစ်စံ,0
ခေတ်မြတ်စံ,0
သာမည,0
ပန်းသစ္စာ,18
အောင်မိတ်ဆွေ,0
ကောင်းဆုစံ,0
မန်းရာဇာ,0
ရွှေနှင်းဆီ,0
ငွေအိမ်စံ,18
မြစည်းစိမ်,18
မြတ်ပန်းဇော်,0
သိဒ္ဓိစံ,0
ရွှေပြည့်စုံ,0
ဆုပြည့်စံ,0
အကြိုက်ဆွဲ,"18,10,27"
ဟော်ရီဇုန်,0
မယ်နှင်းဆီ,"18,10,27"
ရွှေလာဘ်စံ,0
ကိုခင်ဇော်,0
ပန်းကြယ်စင်,0
မေတ္တာစျာန်,0
ရည်မွန်စံ,0
ဆောင်းသဇင်,0
ဘုန်းပွင့်စံ,0
သော်တာဆွေ,0
အောင်ကျော်ဇော,0
ရွှေသဇင်,0
ရှေ့ဆောင်,18
ကံပွင့်စေ,"18,10"
ရွှေရောင်စဥ်,0
ခေတ်ရောင်စဥ်,0
ခေတ်သစ်ရောင်စဥ်,0
ငြိမ်းချမ်းစေ,0
ဆုပြည့်စုံ,0
ပညတ်,0
ပေစာ,0
ပေါ်လစီ,0
ပင်မြင့်စံ,0
